iteration energy
0 0.03953716
1 0.03702146
2 0.03481646
3 0.03332460
4 0.03051907
5 0.02975991
6 0.02738811
7 -0.19880482
8 -0.36978410
9 -0.37014957
10 -0.37226794
11 -0.37257326
12 -0.37468117
13 -0.37490334
14 -0.37644788
15 -0.37716846
16 -0.37827510
17 -0.37864612
18 -0.37945533
19 -0.38047383
20 -0.38070758
21 -0.38206065
22 -0.38263086
23 -0.38363550
24 -0.38395627
25 -0.38465273
26 -0.38556523
27 -0.38556523
28 -1.35621123
29 -1.58420639
30 -1.58749411
31 -1.58787569
32 -1.58857419
33 -1.58935060
34 -1.60697928
35 -1.61016757
36 -1.89820330
37 -1.98040683
38 -1.98271983
39 -1.98420282
40 -1.98499211
41 -1.98556110
42 -1.98615200
43 -2.07978923
44 -2.13017488
45 -2.13553072
46 -2.13613478
47 -2.13635692
48 -2.13658499
49 -2.13694141
50 -2.13706522
51 -2.13717617
52 -2.13726374
