"Iteration"	"PN_{Cla} Pi_{Cla}"
0	-9.95168166
1	-10.55274806
2	-10.62732029
3	-10.65302192
4	-10.65540842
5	-10.65552275
6	-10.65562890
7	-10.65574413
8	-10.65589326
9	-10.65593826
10	-10.65594419
11	-9.69495218
12	-11.32249563
13	-11.40138078
14	-11.41219038
15	-11.41422336
16	-11.41469588
17	-11.41470226
18	-11.41470805
19	-0.22798565
20	-11.35739055
21	-11.89688217
22	-11.93704936
23	-11.94273679
24	-11.94436176
25	-11.94511846
26	-11.94562426
27	-11.94563486
28	-11.94583636
29	-11.94584095
30	-11.94584459
31	-12.14154705
32	-12.20016734
33	-12.20889694
34	-12.21168739
35	-12.21275572
36	-12.21366258
37	-12.21488092
38	-12.21760724
39	-12.21855387
40	-12.22032029
41	-12.22078399
42	-12.22094854
43	-12.22099991
44	-12.22101461


