"Iteration"	"PN_{Cla} Pi_{Cla}"
0	5.80847440
1	-1.96646776
2	-2.10443390
3	-2.13499639
4	-2.20195248
5	-2.22434222
6	-2.23947010
7	-2.24903384
8	-2.26508712
9	-2.27477187
10	-2.29219025
11	-2.30841068
12	-2.37014968
13	-2.37799439
14	-2.41084209


"Iteration"	"PN_{Rel} Pi_{Cla}"
0	5.44098299
1	-2.10308858
2	-2.13345406
3	-2.26170795
4	-2.29912990
5	-2.30658970
6	-2.36070113
7	-2.36423077
8	-2.37715827
9	-2.38526297
10	-2.39855234
11	-2.41533680
12	-2.41955993


"Iteration"	"PN_{Cla} Pi_{Rel}"
0	5.07524823
1	-9.23227701
2	-9.69289776
3	-9.91918225
4	-10.03440506
5	-10.04523023
6	-10.26373730
7	-10.44636332
8	-10.53153359
9	-10.60362705
10	-10.65040844
11	-10.69105810
12	-10.75936802
13	-10.81935838
14	-10.86028750


"Iteration"	"PN_{Rel} Pi_{Rel}"
0	5.30736302
1	-10.60141855
2	-10.79254821
3	-10.90061589
4	-10.90725078
5	-11.07084118
6	-11.12884566
7	-11.14902713
8	-11.24532454
9	-11.28890327
10	-11.34549589
11	-11.43227920
12	-11.50671923
13	-11.52356013
14	-11.53034011
15	-11.55989051
16	-11.61560288
17	-11.62191764
18	-11.67170852
19	-11.68290430
20	-11.69220914


