# S [MeV]   b [fm]   E0 [MeV]
10.000000  1.200000  3.928899
10.000000  1.221053  3.736040
10.000000  1.242105  3.522922
10.000000  1.263158  3.287717
10.000000  1.284211  3.028441
10.000000  1.305263  2.742944
10.000000  1.326316  2.428907
10.000000  1.347368  2.083834
10.000000  1.368421  1.705050
10.000000  1.389474  1.289707
10.000000  1.410526  0.834792
10.000000  1.431579  0.337146
10.000000  1.452632  -0.206515
10.000000  1.473684  -0.799564
10.000000  1.494737  -1.445427
10.000000  1.515789  -2.147530
10.000000  1.536842  -2.909249
10.000000  1.557895  -3.733855
10.000000  1.578947  -4.624454
10.000000  1.600000  -5.583942

10.526316  1.200000  3.751850
10.526316  1.221053  3.534998
10.526316  1.242105  3.295026
10.526316  1.263158  3.029793
10.526316  1.284211  2.736977
10.526316  1.305263  2.414064
10.526316  1.326316  2.058342
10.526316  1.347368  1.666901
10.526316  1.368421  1.236636
10.526316  1.389474  0.764260
10.526316  1.410526  0.246318
10.526316  1.431579  -0.320778
10.526316  1.452632  -0.940719
10.526316  1.473684  -1.617244
10.526316  1.494737  -2.354091
10.526316  1.515789  -3.154937
10.526316  1.536842  -4.023330
10.526316  1.557895  -4.962630
10.526316  1.578947  -5.975952
10.526316  1.600000  -7.066112

11.052632  1.200000  3.563096
11.052632  1.221053  3.320374
11.052632  1.242105  3.051392
11.052632  1.263158  2.753666
11.052632  1.284211  2.424499
11.052632  1.305263  2.060978
11.052632  1.326316  1.659966
11.052632  1.347368  1.218112
11.052632  1.368421  0.731859
11.052632  1.389474  0.197465
11.052632  1.410526  -0.388964
11.052632  1.431579  -1.031432
11.052632  1.452632  -1.734000
11.052632  1.473684  -2.500727
11.052632  1.494737  -3.335596
11.052632  1.515789  -4.242450
11.052632  1.536842  -5.224917
11.052632  1.557895  -6.286349
11.052632  1.578947  -7.429768
11.052632  1.600000  -8.657827

11.578947  1.200000  3.362256
11.578947  1.221053  3.091699
11.578947  1.242105  2.791452
11.578947  1.263158  2.458652
11.578947  1.284211  2.090195
11.578947  1.305263  1.682737
11.578947  1.326316  1.232688
11.578947  1.347368  0.736235
11.578947  1.368421  0.189355
11.578947  1.389474  -0.412146
11.578947  1.410526  -1.072586
11.578947  1.431579  -1.796352
11.578947  1.452632  -2.587828
11.578947  1.473684  -3.451322
11.578947  1.494737  -4.390982
11.578947  1.515789  -5.410725
11.578947  1.536842  -6.514166
11.578947  1.557895  -7.704555
11.578947  1.578947  -8.984738
11.578947  1.600000  -10.357125

12.105263  1.200000  3.148938
12.105263  1.221053  2.848494
12.105263  1.242105  2.514626
12.105263  1.263158  2.144059
12.105263  1.284211  1.733253
12.105263  1.305263  1.278402
12.105263  1.326316  0.775446
12.105263  1.347368  0.220093
12.105263  1.368421  -0.392143
12.105263  1.389474  -1.065893
12.105263  1.410526  -1.805870
12.105263  1.431579  -2.616793
12.105263  1.452632  -3.503304
12.105263  1.473684  -4.469879
12.105263  1.494737  -5.520744
12.105263  1.515789  -6.659801
12.105263  1.536842  -7.890556
12.105263  1.557895  -9.216079
12.105263  1.578947  -10.638972
12.105263  1.600000  -12.161354

12.631579  1.200000  2.922740
12.631579  1.221053  2.590270
12.631579  1.242105  2.220326
12.631579  1.263158  1.809195
12.631579  1.284211  1.352869
12.631579  1.305263  0.847061
12.631579  1.326316  0.287224
12.631579  1.347368  -0.331409
12.631579  1.368421  -1.013778
12.631579  1.389474  -1.764921
12.631579  1.410526  -2.589899
12.631579  1.431579  -3.493700
12.631579  1.452632  -4.481145
12.631579  1.473684  -5.556794
12.631579  1.494737  -6.724863
12.631579  1.515789  -7.989147
12.631579  1.536842  -9.352972
12.631579  1.557895  -10.819163
12.631579  1.578947  -12.390027
12.631579  1.600000  -14.067360

13.157895  1.200000  2.683251
13.157895  1.221053  2.316531
13.157895  1.242105  1.907966
13.157895  1.263158  1.453373
13.157895  1.284211  0.948258
13.157895  1.305263  0.387836
13.157895  1.326316  -0.232928
13.157895  1.347368  -0.919270
13.157895  1.368421  -1.676553
13.157895  1.389474  -2.510182
13.157895  1.410526  -3.425501
13.157895  1.431579  -4.427697
13.157895  1.452632  -5.521687
13.157895  1.473684  -6.712029
13.157895  1.494737  -8.002841
13.157895  1.515789  -9.397742
13.157895  1.536842  -10.899815
13.157895  1.557895  -12.511590
13.157895  1.578947  -14.235052
13.157895  1.600000  -16.071660

13.684211  1.200000  2.430056
13.684211  1.221053  2.026780
13.684211  1.242105  1.576960
13.684211  1.263158  1.075921
13.684211  1.284211  0.518663
13.684211  1.305263  -0.100099
13.684211  1.326316  -0.785884
13.684211  1.347368  -1.544371
13.684211  1.368421  -2.381309
13.684211  1.389474  -3.302410
13.684211  1.410526  -4.313237
13.684211  1.431579  -5.419091
13.684211  1.452632  -6.624903
13.684211  1.473684  -7.935148
13.684211  1.494737  -9.353774
13.684211  1.515789  -10.884161
13.684211  1.536842  -12.529104
13.684211  1.557895  -14.290813
13.684211  1.578947  -16.170933
13.684211  1.600000  -18.170583

14.210526  1.200000  2.162736
14.210526  1.221053  1.720521
14.210526  1.242105  1.226732
14.210526  1.263158  0.676184
14.210526  1.284211  0.063365
14.210526  1.305263  -0.617510
14.210526  1.326316  -1.372423
14.210526  1.347368  -2.207462
14.210526  1.368421  -3.128711
14.210526  1.389474  -4.142123
14.210526  1.410526  -5.253403
14.210526  1.431579  -6.467885
14.210526  1.452632  -7.790434
14.210526  1.473684  -9.225370
14.210526  1.494737  -10.776411
14.210526  1.515789  -12.446657
14.210526  1.536842  -14.238583
14.210526  1.557895  -16.154063
14.210526  1.578947  -18.194401
14.210526  1.600000  -20.360379

14.736842  1.200000  1.880872
14.736842  1.221053  1.397263
14.736842  1.242105  0.856722
14.736842  1.263158  0.253541
14.736842  1.284211  -0.418306
14.736842  1.305263  -1.165087
14.736842  1.326316  -1.993219
14.736842  1.347368  -2.909154
14.736842  1.368421  -3.919245
14.736842  1.389474  -5.029618
14.736842  1.410526  -6.246038
14.736842  1.431579  -7.573798
14.736842  1.452632  -9.017624
14.736842  1.473684  -10.581621
