
========================================
  PARAMETER FITTING UTILITY
========================================
Basis size: 39 states
Loaded from basis_final.txt:
  E       = 0.05952 MeV
  R       = 9.05244 fm
  <T>     = 0.98660 MeV

Scanning parameter space:
  b_form:  1.00000 to 2.00000 (step 0.20000)
  b_range: 50.00000 to 150.00000 (step 25.00000)
  S:       0.00000 to 50.00000 (step 10.00000)
========================================

      b_form     b_range     S (MeV)       E (MeV)      R (fm)     <T> (MeV)        PN %    PN+pi %
--------------------------------------------------------------------------------------------------------------------
      1.0000     50.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.0000     50.0000     10.0000        0.1780     10.4811        0.2608     99.9892      0.0108
      1.0000     50.0000     20.0000       -0.9085      3.6476        4.9341     99.2481      0.7519
      1.0000     50.0000     30.0000       -6.8265      2.3467       14.2933     97.3530      2.6470
      1.0000     50.0000     40.0000      -17.0347      1.9252       23.8394     95.0373      4.9627
      1.0000     50.0000     50.0000      -30.3806      1.7789       32.5726     92.6278      7.3722
      1.0000     75.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.0000     75.0000     10.0000        0.1777     10.4776        0.2615     99.9891      0.0109
      1.0000     75.0000     20.0000       -0.9272      3.6216        4.9742     99.2406      0.7594
      1.0000     75.0000     30.0000       -6.8821      2.3453       14.3410     97.3402      2.6598
      1.0000     75.0000     40.0000      -17.1325      1.9253       23.8928     95.0198      4.9802
      1.0000     75.0000     50.0000      -30.5241      1.7794       32.6369     92.6053      7.3947
      1.0000    100.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.0000    100.0000     10.0000        0.1776     10.4764        0.2617     99.9890      0.0110
      1.0000    100.0000     20.0000       -0.9338      3.6127        4.9882     99.2379      0.7621
      1.0000    100.0000     30.0000       -6.9016      2.3448       14.3577     97.3357      2.6643
      1.0000    100.0000     40.0000      -17.1668      1.9254       23.9116     95.0136      4.9864
      1.0000    100.0000     50.0000      -30.5746      1.7796       32.6595     92.5974      7.4026
      1.0000    125.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.0000    125.0000     10.0000        0.1775     10.4758        0.2618     99.9890      0.0110
      1.0000    125.0000     20.0000       -0.9368      3.6086        4.9946     99.2367      0.7633
      1.0000    125.0000     30.0000       -6.9107      2.3445       14.3654     97.3336      2.6664
      1.0000    125.0000     40.0000      -17.1827      1.9254       23.9203     95.0107      4.9893
      1.0000    125.0000     50.0000      -30.5979      1.7797       32.6699     92.5938      7.4062
      1.0000    150.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.0000    150.0000     10.0000        0.1775     10.4755        0.2619     99.9890      0.0110
      1.0000    150.0000     20.0000       -0.9385      3.6064        4.9981     99.2360      0.7640
      1.0000    150.0000     30.0000       -6.9156      2.3444       14.3696     97.3325      2.6675
      1.0000    150.0000     40.0000      -17.1913      1.9254       23.9250     95.0092      4.9908
      1.0000    150.0000     50.0000      -30.6106      1.7798       32.6756     92.5918      7.4082
      1.2000     50.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.2000     50.0000     10.0000        0.0026      8.4242        1.0932     99.8539      0.1461
      1.2000     50.0000     20.0000       -7.8384      2.2926       15.1954     97.0105      2.9895
      1.2000     50.0000     30.0000      -25.6563      1.8226       29.1654     93.2412      6.7588
      1.2000     50.0000     40.0000      -49.7815      1.7260       41.7423     89.3964     10.6036
      1.2000     50.0000     50.0000      -78.2989      1.6990       53.3653     85.7455     14.2545
      1.2000     75.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.2000     75.0000     10.0000       -0.0014      8.3783        1.1164     99.8502      0.1498
      1.2000     75.0000     20.0000       -7.8994      2.2914       15.2435     96.9967      3.0033
      1.2000     75.0000     30.0000      -25.7859      1.8231       29.2255     93.2196      6.7804
      1.2000     75.0000     40.0000      -49.9885      1.7266       41.8198     89.3681     10.6319
      1.2000     75.0000     50.0000      -78.5892      1.6994       53.4556     85.7128     14.2872
      1.2000    100.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.2000    100.0000     10.0000       -0.0029      8.3620        1.1247     99.8489      0.1511
      1.2000    100.0000     20.0000       -7.9209      2.2909       15.2604     96.9919      3.0081
      1.2000    100.0000     30.0000      -25.8315      1.8233       29.2465     93.2121      6.7879
      1.2000    100.0000     40.0000      -50.0611      1.7268       41.8470     89.3582     10.6418
      1.2000    100.0000     50.0000      -78.6911      1.6995       53.4873     85.7013     14.2987
      1.2000    125.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.2000    125.0000     10.0000       -0.0035      8.3545        1.1285     99.8483      0.1517
      1.2000    125.0000     20.0000       -7.9308      2.2907       15.2682     96.9896      3.0104
      1.2000    125.0000     30.0000      -25.8526      1.8234       29.2563     93.2086      6.7914
      1.2000    125.0000     40.0000      -50.0948      1.7269       41.8596     89.3536     10.6464
      1.2000    125.0000     50.0000      -78.7383      1.6996       53.5019     85.6960     14.3040
      1.2000    150.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.2000    150.0000     10.0000       -0.0039      8.3503        1.1306     99.8480      0.1520
      1.2000    150.0000     20.0000       -7.9363      2.2906       15.2725     96.9884      3.0116
      1.2000    150.0000     30.0000      -25.8640      1.8234       29.2616     93.2067      6.7933
      1.2000    150.0000     40.0000      -50.1131      1.7269       41.8664     89.3511     10.6489
      1.2000    150.0000     50.0000      -78.7640      1.6996       53.5099     85.6931     14.3069
      1.4000     50.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000     50.0000     10.0000       -1.5543      3.1089        6.1954     98.9380      1.0620
      1.4000     50.0000     20.0000      -20.7551      1.8868       25.6056     94.0025      5.9975
      1.4000     50.0000     30.0000      -53.4724      1.7250       42.5616     88.6044     11.3956
      1.4000     50.0000     40.0000      -94.1257      1.6949       57.5309     83.6608     16.3392
      1.4000     50.0000     50.0000     -139.9193      1.6842       70.2630     79.4669     20.5331
      1.4000     75.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000     75.0000     10.0000       -1.5789      3.0995        6.2330     98.9295      1.0705
      1.4000     75.0000     20.0000      -20.8686      1.8871       25.6615     93.9822      6.0178
      1.4000     75.0000     30.0000      -53.6926      1.7255       42.6402     88.5749     11.4251
      1.4000     75.0000     40.0000      -94.4627      1.6952       57.6238     83.6264     16.3736
      1.4000     75.0000     50.0000     -140.3769      1.6845       70.3607     79.4310     20.5690
      1.4000    100.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000    100.0000     10.0000       -1.5876      3.0964        6.2461     98.9265      1.0735
      1.4000    100.0000     20.0000      -20.9084      1.8872       25.6810     93.9751      6.0249
      1.4000    100.0000     30.0000      -53.7699      1.7257       42.6677     88.5645     11.4355
      1.4000    100.0000     40.0000      -94.5811      1.6954       57.6563     83.6143     16.3857
      1.4000    100.0000     50.0000     -140.5375      1.6846       70.3949     79.4184     20.5816
      1.4000    125.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000    125.0000     10.0000       -1.5916      3.0949        6.2522     98.9252      1.0748
      1.4000    125.0000     20.0000      -20.9269      1.8873       25.6901     93.9719      6.0281
      1.4000    125.0000     30.0000      -53.8057      1.7258       42.6805     88.5597     11.4403
      1.4000    125.0000     40.0000      -94.6359      1.6954       57.6714     83.6087     16.3913
      1.4000    125.0000     50.0000     -140.6119      1.6846       70.4107     79.4126     20.5874
      1.4000    150.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000    150.0000     10.0000       -1.5938      3.0941        6.2555     98.9244      1.0756
