b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.0,33.0,-0.95241557,2.82882996,0.98215807,0.01784193
2.0,33.44444444444444,-1.17274197,2.62541572,0.98008758,0.01991242
2.0,33.888888888888886,-1.41042281,2.4425756,0.97802815,0.02197185
2.0,34.333333333333336,-1.68020074,2.29384785,0.97586832,0.02413168
2.0,34.77777777777778,-1.9627056,2.16214607,0.9737879,0.0262121
2.0,35.154222159681844,-2.21469942,2.08212921,0.97203569,0.02796431
2.0,35.22222222222222,-2.27119963,2.06007429,0.97160098,0.02839902
2.0,35.666666666666664,-2.59512678,1.97568468,0.96951242,0.03048758
2.0,36.111111111111114,-2.94727321,1.89287285,0.96729581,0.03270419
2.0,36.55555555555556,-3.31193744,1.82773741,0.96518472,0.03481528
2.0,37.0,-3.69979773,1.76867409,0.96301795,0.03698205
2.1,33.154222159681844,-2.03397682,2.16292603,0.9740691,0.0259309
2.1,33.42618728294972,-2.22103095,2.09888804,0.97280304,0.02719696
2.1,33.59866660412629,-2.34451203,2.06324152,0.97200397,0.02799603
2.1,34.04311104857073,-2.67850925,1.97529966,0.969885,0.030115
2.1,34.48755549301518,-3.0389795,1.89846232,0.96773744,0.03226256
2.1,34.93199993745962,-3.40302001,1.83180064,0.96585263,0.03414737
2.1,35.376444381904065,-3.81272608,1.77202106,0.96343853,0.03656147
2.1,35.82088882634851,-4.21996589,1.72096945,0.96139092,0.03860908
2.1,36.26533327079295,-4.65382355,1.67408501,0.95925412,0.04074588
2.1,36.7097777152374,-5.11709119,1.63177808,0.95702492,0.04297508
2.1,37.154222159681844,-5.58587845,1.59422769,0.95489127,0.04510873
2.15,31.42618728294972,-1.4362774,2.45763693,0.97885598,0.02114402
2.15,31.870631727394162,-1.71026619,2.30801353,0.97672703,0.02327297
2.15,32.315076171838605,-2.00006997,2.18740255,0.97468,0.02532
2.15,32.633071348630764,-2.224797,2.10809736,0.973162,0.026838
2.15,32.759520616283055,-2.31304471,2.07960028,0.97260473,0.02739527
2.15,33.2039650607275,-2.65432354,1.99005742,0.97045248,0.02954752
2.15,33.64840950517194,-3.00854605,1.91365292,0.96837388,0.03162612
2.15,34.092853949616384,-3.37405104,1.84464007,0.96631389,0.03368611
2.15,34.53729839406083,-3.76776402,1.78727019,0.96423336,0.03576664
2.15,34.981742838505276,-4.18604586,1.73517742,0.96210663,0.03789337
2.15,35.42618728294972,-4.6303607,1.68471126,0.95988673,0.04011327
2.2,30.633071348630764,-1.40689359,2.48064346,0.97939847,0.02060153
2.2,31.077515793075207,-1.67976177,2.33316079,0.97731447,0.02268553
2.2,31.521960237519654,-1.97655066,2.20181557,0.97521036,0.02478964
2.2,31.872032725141242,-2.22077376,2.12139924,0.97358816,0.02641184
2.2,31.966404681964097,-2.29070698,2.09636614,0.97312539,0.02687461
2.2,32.41084912640854,-2.61991406,2.00877996,0.97111079,0.02888921
2.2,32.855293570852986,-2.97283735,1.92994991,0.96899946,0.03100054
2.2,33.29973801529743,-3.34921734,1.86142707,0.96693888,0.03306112
2.2,33.74418245974188,-3.74938209,1.79894052,0.96477738,0.03522262
2.2,34.18862690418632,-4.1667934,1.7456467,0.96264636,0.03735364
2.2,34.633071348630764,-4.60100375,1.69880843,0.96055398,0.03944602
2.21,29.872032725141242,-1.07057698,2.74383232,0.98225206,0.01774794
2.21,30.316477169585685,-1.31172508,2.5427471,0.98021123,0.01978877
2.21,30.76092161403013,-1.57637363,2.38885977,0.97812983,0.02187017
2.21,31.205366058474574,-1.8571807,2.25383561,0.9761223,0.0238777
2.21,31.649810502919017,-2.16695705,2.13896585,0.97400347,0.02599653
2.21,31.727888305211533,-2.21428213,2.12398863,0.97373409,0.02626591
2.21,32.09425494736346,-2.49166422,2.039753,0.97194136,0.02805864
2.21,32.53869939180791,-2.84012571,1.95941119,0.96985004,0.03014996
2.21,32.98314383625235,-3.21168721,1.88850629,0.96776471,0.03223529
2.21,33.427588280696796,-3.60072235,1.82277085,0.96564592,0.03435408
2.21,33.87203272514124,-4.00080543,1.76932594,0.96364664,0.03635336
2.23,29.727888305211533,-1.14070097,2.7022674,0.98179501,0.01820499
2.23,30.17233274965598,-1.39036329,2.49725397,0.9796938,0.0203062
2.23,30.616777194100422,-1.65794644,2.34864865,0.9776836,0.0223164
2.23,31.06122163854487,-1.95017618,2.21935722,0.97561567,0.02438433
