b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.0,21.666666666666668,0.16754503,24.62197973,0.99989647,0.00010353
2.2,21.666666666666668,0.0726534,0.0,0.99923286,0.00076714
2.0,15.0,0.03685706,27.11736837,0.99999812,1.88e-06
2.0,18.333333333333332,0.11022822,11.45391496,0.99998715,1.285e-05
2.2,15.0,0.02999616,30.08967828,0.99999786,2.14e-06
2.2,18.333333333333332,0.08516297,14.97078647,0.99998088,1.912e-05
2.0,25.0,0.08554567,0.0,0.99934898,0.00065102
2.2,25.0,-0.53268427,3.63352933,0.98532744,0.01467256
2.4,15.0,0.07641306,16.53295845,0.99998626,1.374e-05
2.4,18.333333333333332,0.03381182,26.1519402,0.9999668,3.32e-05
2.6,15.0,0.03253553,28.06903489,0.99998769,1.231e-05
2.4,21.666666666666668,1.86711931,5.01873929,0.99172547,0.00827453
2.6,18.333333333333332,0.06517556,0.0,0.99843387,0.00156613
2.4,25.0,-1.93464124,2.26036723,0.97233432,0.02766568
2.6,21.666666666666668,2.98837448,6.91154845,0.99356246,0.00643754
2.0,20.0,0.38856757,0.0,0.99980216,0.00019784
1.8,26.666666666666668,0.04039525,23.35672838,0.99995138,4.862e-05
2.0,26.666666666666668,1.52724324,5.20818744,0.99195367,0.00804633
1.8,20.0,0.08408595,15.88063973,0.99999331,6.69e-06
1.8,33.333333333333336,-1.53260902,2.33103559,0.97096232,0.02903768
2.0,33.333333333333336,-4.87810892,1.63407484,0.94909803,0.05090197
1.8,40.0,-8.56991267,1.38235652,0.92732284,0.07267716
2.0,40.0,-14.79984824,1.26910674,0.90716131,0.09283869
2.2,20.0,0.03371245,26.76721829,0.99997749,2.251e-05
2.4,20.0,0.06240205,0.0,0.99885082,0.00114918
2.2,26.666666666666668,-1.45028182,2.45762694,0.97500032,0.02499968
2.2,33.333333333333336,-8.84406956,1.44547973,0.93288155,0.06711845
2.6,20.0,1.09592454,5.57406257,0.99517347,0.00482653
2.4,26.666666666666668,-3.44288523,1.88445924,0.96199912,0.03800088
2.4,33.333333333333336,-12.9642299,1.36932181,0.92012164,0.07987836
2.4,40.0,-26.93231331,1.21209626,0.88028003,0.11971997
2.6,26.666666666666668,-5.74933927,1.67592923,0.95148281,0.04851719
2.6,33.333333333333336,-17.01124613,1.33517255,0.90981098,0.09018902
2.6,40.0,-32.47303441,1.20901186,0.87066549,0.12933451
2.4,24.348482482535168,-1.45253339,2.49580425,0.97633875,0.02366125
1.8,33.98831049919714,-2.02238999,2.10538556,0.96622797,0.03377203
2.0,30.570946656584766,-2.19812063,2.08816502,0.96687672,0.03312328
2.6,23.233305666661614,-2.06739489,2.25022279,0.97267571,0.02732429
2.2,27.36429572789801,-1.95067095,2.2152268,0.97068803,0.02931197
1.8,26.04498096681353,0.03882085,24.69317245,0.99997303,2.697e-05
2.0,25.0,0.0983762,0.0,0.99969247,0.00030753
2.0,28.333333333333332,1.98855649,7.99579938,0.99345473,0.00654527
2.2,25.0,-0.53270084,3.6298843,0.98533173,0.01466827
2.2,28.333333333333332,-2.76730402,1.97381536,0.96455521,0.03544479
2.0,31.666666666666668,-3.14723732,1.85666705,0.95985166,0.04014834
2.2,31.666666666666668,-6.49154283,1.55349713,0.94340902,0.05659098
2.0,35.0,-6.92657104,1.49197741,0.93844429,0.06155571
2.2,35.0,-11.49171837,1.36785808,0.92240616,0.07759384
2.23,25.0,2.24465804,7.68791775,0.99350793,0.00649207
2.23,28.333333333333332,-3.12280879,1.90699349,0.96244042,0.03755958
2.24,25.0,-0.7617901,3.15047034,0.9824912,0.0175088
2.24,28.333333333333332,-3.24609143,1.88770406,0.96172718,0.03827282
2.23,35.0,-12.18773419,1.35699103,0.9203377,0.0796623
2.24,31.666666666666668,-7.20513546,1.52239985,0.94058962,0.05941038
2.23,31.666666666666668,-7.01718301,1.52988589,0.9413584,0.0586416
2.24,35.0,-12.41760616,1.35367747,0.91968506,0.08031494
2.25,25.0,-0.82354058,3.05661244,0.98179468,0.01820532
2.25,28.333333333333332,-3.3732253,1.86712575,0.96100109,0.03899891
2.25,31.666666666666668,-7.3838971,1.51523635,0.93990418,0.06009582
2.4,25.0,-1.93452058,2.26055682,0.97233343,0.02766657
2.25,35.0,-12.64903806,1.35052113,0.91899724,0.08100276
2.4,31.666666666666668,-10.11359151,1.43886344,0.93050671,0.06949329
2.4,28.333333333333332,-5.32718077,1.67132202,0.95153766,0.04846234
2.4,35.0,-16.09244661,1.31580782,0.90982062,0.09017938
2.6,25.0,-3.75697634,1.87594233,0.96187767,0.03812233
2.6,28.333333333333332,-8.09563847,1.54573254,0.94099965,0.05900035
2.6,35.0,-20.52568709,1.2939808,0.89975373,0.10024627
2.25,26.830892278582063,-2.02962701,2.19572232,0.9704477,0.0295523
2.4,25.284417343901453,-2.16536828,2.17827945,0.9705667,0.0294333
2.24,26.96193309609507,-2.03499267,2.19117047,0.97033342,0.02966658
2.23,27.775150228548313,-2.60866457,2.01727489,0.96595406,0.03404594
2.0,31.067449126558035,-2.6015525,1.97430274,0.96378711,0.03621289
2.2,27.52289261785919,-2.07458395,2.16921775,0.96970225,0.03029775
2.0,27.671922392895723,1.89043423,8.2010619,0.99302363,0.00697637
2.2,25.58139786311085,-0.80336164,3.07677467,0.98176474,0.01823526
2.23,27.20021297854595,-2.12443705,2.15785482,0.96955261,0.03044739
2.25,29.779054734716837,-4.94792714,1.67528717,0.95184091,0.04815909
2.4,27.560122209218537,-4.41013316,1.75701612,0.95637775,0.04362225
2.24,27.197145612268173,-2.21882256,2.12841624,0.96893456,0.03106544
2.25,25.99965278583477,2.41428217,7.26648208,0.99387685,0.00612315
2.24,26.66931495050741,-1.8111724,2.27735792,0.97214626,0.02785374
2.2,27.572039306085717,-2.11402908,2.15514447,0.96938656,0.03061344
2.0,30.934563161943018,-2.49236268,2.00152294,0.96460449,0.03539551
2.23,27.313213778456088,-2.21778579,2.12442157,0.96882691,0.03117309
