b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
3.6,13.0,0.07474869,30.92768062,0.99989877,0.00010123
3.6,15.0,-0.00477797,22.63899977,0.99913293,0.00086707
3.6,17.0,-0.44827758,4.16193895,0.99210393,0.00789607
3.6,19.0,-1.49210485,2.70867253,0.98450003,0.01549997
3.6,21.0,-3.08406843,2.17412499,0.97630675,0.02369325
3.6,23.0,-5.1789634,1.90036385,0.96762641,0.03237359
3.8333333333333335,14.919487303849,-0.13184118,6.84717604,0.99609133,0.00390867
3.8333333333333335,16.919487303849,-0.87210522,3.29383061,0.98905004,0.01094996
3.8333333333333335,18.919487303849,-2.19921776,2.43941588,0.98130103,0.01869897
3.8333333333333335,20.919487303849,-4.06290283,2.05996536,0.97295686,0.02704314
3.8333333333333335,22.919487303849,-6.42092207,1.84508988,0.96414944,0.03585056
3.8333333333333335,24.919487303849,-9.23833007,1.70601812,0.95498303,0.04501697
4.066666666666666,13.946082183422725,-0.11123286,7.64506587,0.99662248,0.00337752
4.066666666666666,15.946082183422725,-0.83261245,3.39380016,0.98975058,0.01024942
4.066666666666666,17.946082183422725,-2.15215912,2.49976967,0.98218294,0.01781706
4.066666666666666,19.946082183422725,-4.02206972,2.10623951,0.97394009,0.02605991
4.066666666666666,21.946082183422725,-6.39425065,1.88531512,0.96522293,0.03477707
4.066666666666666,23.946082183422725,-9.23776419,1.74256872,0.9560744,0.0439256
4.3,13.022921022669905,-0.08061616,8.63141424,0.99727254,0.00272746
4.3,15.022921022669905,-0.76252113,3.53221549,0.99061667,0.00938333
4.3,17.022921022669905,-2.05821982,2.57333501,0.98318264,0.01681736
4.3,19.022921022669905,-3.91411584,2.16117595,0.97509795,0.02490205
4.3,21.022921022669905,-6.28720698,1.93075228,0.96643637,0.03356363
4.3,23.022921022669905,-9.13715978,1.78297095,0.95736795,0.04263205
4.533333333333333,12.201573466786897,-0.05877377,10.10273555,0.99778239,0.00221761
4.533333333333333,14.201573466786897,-0.69982087,3.69993157,0.99138993,0.00861007
4.533333333333333,16.201573466786897,-1.97156721,2.64904779,0.98410136,0.01589864
4.533333333333333,18.201573466786897,-3.81026088,2.21383166,0.97615658,0.02384342
4.533333333333333,20.201573466786897,-6.18324095,1.97532488,0.96755842,0.03244158
4.533333333333333,22.201573466786897,-9.04201039,1.82211652,0.95851623,0.04148377
4.766666666666667,11.47615187440169,-0.04205575,11.5521393,0.99820964,0.00179036
4.766666666666667,13.47615187440169,-0.64929413,3.82553474,0.99200744,0.00799256
4.766666666666667,15.47615187440169,-1.89637164,2.72124062,0.9849756,0.0150244
4.766666666666667,17.47615187440169,-3.72936062,2.26812599,0.97709826,0.02290174
4.766666666666667,19.47615187440169,-6.10158557,2.01864543,0.96853773,0.03146227
4.766666666666667,21.47615187440169,-8.96897413,1.8586288,0.95951262,0.04048738
5.0,10.833631775890241,-0.02940393,13.34567149,0.99856111,0.00143889
5.0,12.833631775890241,-0.60979241,3.98254868,0.99253468,0.00746532
5.0,14.83363177589024,-1.84269749,2.78665235,0.98557067,0.01442933
5.0,16.83363177589024,-3.66023593,2.31662777,0.97790258,0.02209742
5.0,18.83363177589024,-6.03380585,2.06097559,0.9694019,0.0305981
5.0,20.83363177589024,-8.90971657,1.89674437,0.96044599,0.03955401
