b_range,b_form,S_opt,energy_mev,radius_fm
2.25,1.0,61.77777777777778,-2.21656046,2.12903454
2.0,1.3,40.714579641484974,-2.22153211,2.07870333
2.0,1.6,27.1121245514772,-2.22611804,2.07700922
2.5,1.15,41.717622295598254,-2.22221268,2.17649171
2.5,1.3,32.52376834301316,-2.22452519,2.17711693
2.5,1.45,26.1856077057612,-2.22810054,2.17635761
2.5,1.6,21.6199162724908,-2.22555338,2.17740446
3.0,1.0,47.189637632964775,-2.22601888,2.26444521
3.0,1.3,27.351628861379805,-2.22272461,2.27478642
3.0,1.6,18.141590249952177,-2.2281378,2.27663352
4.0,1.0,37.02785464719169,-2.22441349,2.44624725
4.0,1.3,21.272601577613944,-2.22517432,2.4582825
4.0,1.6,14.023428238609256,-2.22561834,2.46368404
2.0,1.225,45.85909085766985,-2.22120914,2.07823065
2.0,1.25,44.04326294809635,-2.22794172,2.07912052
2.0,1.3,40.71251385052763,-2.22233289,2.08144829
2.0,1.4,35.154737863703296,-2.22608765,2.07930292
2.0,1.6,27.11491357193171,-2.22169803,2.07796681
2.1125,1.25,41.63486256863364,-2.22373719,2.10210351
2.225,1.3,36.50855898793284,-2.2227381,2.12058201
2.225,1.35,33.86964911500458,-2.22416568,2.12505628
2.225,1.4,31.524267866215737,-2.22763691,2.12487761
2.225,1.45,29.412394125602198,-2.22039901,2.12107332
2.225,1.55,25.835538138779093,-2.22807054,2.12011928
2.225,1.6,24.300188322015494,-2.226302,2.12126474
2.3375,1.3,34.755127704189796,-2.22500385,2.14158862
2.3375,1.325,33.4539740803946,-2.22520926,2.14603369
2.3375,1.375,31.082030526692094,-2.22561968,2.1471936
2.3375,1.4,29.99051361351921,-2.22421511,2.14441159
2.3375,1.425,28.961804358847896,-2.2249295,2.1421245
2.3375,1.475,27.065484200865882,-2.22206328,2.13986543
2.3375,1.525,25.368142553866765,-2.22708515,2.14157224
2.3375,1.575,23.82955689006336,-2.22587197,2.1467191
2.3375,1.6,23.11529460229354,-2.22322281,2.14437167
2.45,1.3,33.17025262990717,-2.22383749,2.16822169
2.45,1.4,28.620851146615838,-2.22400897,2.16842041
2.45,1.5,24.997040312364376,-2.22783781,2.16831096
2.45,1.6,22.05418686739399,-2.22613371,2.16804415
2.9,1.2,33.22075544572274,-2.2217791,2.2547094
2.9,1.4,24.330513254673267,-2.22087033,2.2573657
2.9,1.6,18.73069881341752,-2.22887808,2.25639525
3.8,1.2,26.193502492777764,-2.21921313,2.4186364
3.8,1.4,19.099477932555235,-2.221351,2.42600853
3.8,1.6,14.655258997411762,-2.2249149,2.4299821
